"Time [s]","L(Winding1,Winding1) []"
0,8.01983493267682
0.002,8.01983573539451
0.004,8.01983570238539
0.006,8.01983564724573
0.008,8.01983556981793
0.01,8.01983546988374
0.012,8.01983534716112
0.014,8.01983520130253
0.016,8.01983503190147
0.018,8.01983483848516
0.02,8.01983462051683
0.022,8.01983437739967
0.024,8.01983410847122
0.026,8.01983381300808
0.028,8.01983349022312
0.03,8.01983313926639
0.032,8.0198327592298
0.034,8.01983234914197
0.036,8.01983190797343
0.038,8.01983143464051
0.04,8.01983092800216
0.042,8.01983038686799
0.044,8.01982980999854
0.046,8.01982919611265
0.048,8.01982854388901
0.05,8.01982785197819
0.052,8.0198271190033
0.054,8.01982634357964
0.056,8.01982552431566
0.058,8.01982465982786
0.06,8.0198237487662
0.062,8.01982278981496
0.064,8.01982178172599
0.066,8.01982072334628
0.068,8.01981961362825
0.07,8.01981845168336
0.0720000000000001,8.01981723680068
0.0740000000000001,8.01981596850383
0.0760000000000001,8.01981464659616
0.0780000000000001,8.01981327121501
0.0800000000000001,8.01981184289703
0.0820000000000001,8.01981036265418
0.0840000000000001,8.01980883205953
0.0860000000000001,8.01980725333893
0.0880000000000001,8.01980562948846
0.0900000000000001,8.01980396438993
0.0920000000000001,8.01980226296335
0.0940000000000001,8.01980053131703
0.0960000000000001,8.01979877694267
0.0980000000000001,8.01979700891359
0.1,8.01979523811942
0.102,8.01979347753904
0.104,8.01979174253085
0.106,8.01979005117592
0.108,8.0197884246589
0.11,8.01978688769818
0.112,8.01978546902489
0.114,8.01978420193515
0.116,8.01978312489474
0.118,8.01978228222901
0.12,8.0197817248887
0.122,8.0197815113178
0.124,8.01978170841661
0.126,8.01978239261946
0.128,8.01978365109317
0.13,8.01978558308905
0.132,8.01978830143023
0.134,8.01979193416802
0.136,8.01979662642245
0.138,8.01980254242001
0.14,8.01980986772805
0.142,8.01981881173586
0.144,8.01982961036049
0.146,8.01984252900953
0.148,8.01985786582003
0.15,8.01987595514314
0.152,8.0198971713379
0.154,8.01992193281377
0.156,8.0199507063554
0.158,8.01998401167554
0.16,8.02002242620492
0.162,8.02006659005942
0.164,8.02011721112988
0.166,8.02017507025871
0.168,8.02024102642879
0.17,8.02031602194983
0.172,8.02040108759677
0.174,8.02049734782262
0.176,8.02060602624156
0.178,8.0207284518926
0.18,8.02086606714722
0.182,8.02102043888112
0.184,8.02119327544416
0.186,8.02138645357733
0.188,8.02160206155072
0.19,8.02184246786241
0.192,8.02211042891861
0.194,8.02240925414224
0.196,8.02274305268105
0.198,8.02311709131492
0.2,8.02353829611604
0.202,8.02401592742222
0.204,8.02456244337984
0.206,8.02519453555685
0.208,8.02593426662552
0.21,8.02671596379819
0.212,8.02752355058043
0.214,8.02847885587464
0.216,8.02961193273503
0.218,8.03096054390908
0.22,8.0325710893823
0.222,8.03449900227887
0.224,8.03680838695364
0.226,8.03957079119507
0.228,8.04286330029506
0.23,8.04676663597895
0.232,8.05136447257798
0.234,8.05201701235934
0.236,8.0523453797083
0.238,8.053281136459
0.24,8.0549295192762
0.242,8.05738503714221
0.244,8.06071883504999
0.246,8.06491272980105
0.248,8.06941302735211
0.25,8.07516648032972
0.252,8.08206016198558
0.254,8.0902735639788
0.256,8.09998910554767
0.258,8.11128656539855
0.26,8.12502912386148
0.262,8.14177287608976
0.264,8.16117267847352
0.266,8.1845394864504
0.268,8.21531460472171
0.27,8.23926086232398
0.272,8.26512456635617
0.274,8.30076749525533
0.276,8.3469042141055
0.278,8.40540454924876
0.28,8.47925912377268
0.282,8.57860465018727
0.284,8.71773453174557
0.286,8.85613256380989
0.288,9.05594457870175
0.29,9.325016858942
0.292,9.67187026975538
0.294,10.0534110864937
0.296,10.4723381461962
0.298,10.9518070405669
0.3,11.4451543625041
0.302,11.9900380225677
0.304,12.5957430287293
0.306,13.2035644071698
0.308,13.8820604146842
0.31,14.5733242513313
0.312,15.320896385185
0.314,16.1050697941984
0.316,16.9156322744158
0.318,17.7858534956484
0.32,18.6701140583186
0.322,19.5905387423545
0.324,20.5555481447681
0.326,21.5656137053375
0.328,22.5855457451454
0.33,23.6263626931936
0.332,24.6871108563902
0.334,25.7306550762508
0.336,26.6561983892966
0.338,27.1031811945885
0.34,26.8119153413794
0.342,25.9643994887637
0.344,24.9435295555702
0.346,23.8919142375869
0.348,22.8349961733993
0.35,21.7840357502121
0.352,20.7772201055985
0.354,19.8056954525045
0.356,18.8906336993491
0.358,17.963424493922
0.36,17.0923072318532
0.362,16.2827401960557
0.364,15.4642485739078
0.366,14.71282370235
0.368,13.9956171225565
0.37,13.3092623553388
0.372,12.6751028237264
0.374,12.0615139892623
0.376,11.4949660450134
0.378,10.987649903994
0.38,10.487091706518
0.382,10.0496611787098
0.384,9.64557243021522
0.386,9.28319964783945
0.388,9.00645921252911
0.39,8.80377627145166
0.392,8.64474581583629
0.394,8.50980273320357
0.396,8.41116688503908
0.398,8.336785977678
0.4,8.27980095520046
0.402,8.24144616494474
0.404,8.20317074790556
0.406,8.16184846553546
0.408,8.13061787772916
0.41,8.10545773780061
0.412,8.08610972487965
0.414,8.07084019052536
0.416,8.05938540567763
0.418,8.05290276290514
0.42,8.05060732610283
0.422,8.03680650712783
0.424,8.02849476461122
0.426,8.02318123854799
0.428,8.02021727209477
0.43,8.01979272535814
0.432,8.02137957931032
0.434,8.02515610969673
0.436,8.03202275617478
0.438,8.04410716208288
0.44,8.0533404735871
0.442,8.05686892483237
0.444,8.06608844845317
0.446,8.07888844334315
0.448,8.09614055551511
0.45,8.11778867744783
0.452,8.14605103022229
0.454,8.18003053017991
0.456,8.22606050850222
0.458,8.25847193048878
0.46,8.30646606320457
0.462,8.37097145001674
0.464,8.45361514881578
0.466,8.5662589624465
0.468,8.72445686264304
0.47,8.89015061914122
0.472,9.13092259341863
0.474,9.45066131957682
0.476,9.84886010331339
0.478,10.2558927190276
0.48,10.725053587415
0.482,11.2476982764527
0.484,11.7761013098687
0.486,12.3909848695672
0.488,12.9889835792519
0.49,13.6737962773306
0.492,14.3615101030331
0.494,15.1271456592972
0.496,15.8859095089802
0.498,16.7096217394713
0.5,17.584613143096
0.502,18.4563245302292
0.504,19.3844761107303
0.506,20.3581747442028
0.508,21.3598586137531
0.51,22.3703359332491
0.512,23.4248772198593
0.514,24.4964169194502
0.516,25.5530353570655
0.518,26.5254089143911
0.52,27.0885669772265
0.522,26.9166542402336
0.524,26.1249095662701
0.526,25.1133273707078
0.528,24.0439862476638
0.53,22.9686174009018
0.532,21.9117612692831
0.534,20.8962364373892
0.536,19.9184874091143
0.538,18.985134630796
0.54,18.0458931572578
0.542,17.1659736512247
0.544,16.3487627960947
0.546,15.5120442915367
0.548,14.7503745408412
0.55,14.0186490579302
0.552,13.3208926340241
0.554,12.6739762506169
0.556,12.0472143370633
0.558,11.4696254848894
0.56,10.9459282709978
0.562,10.4355134971128
0.564,9.98904254557647
0.566,9.56452766151633
0.568,9.20536450308195
0.57,8.93067771446076
0.572,8.73827286677234
0.574,8.56656382256931
0.576,8.44028134118718
0.578,8.34846021914108
0.58,8.27978721804232
0.582,8.23592327863198
0.584,8.18403042685873
0.586,8.14045534609388
0.588,8.10705557103611
0.59,8.08247677588701
0.592,8.06431521729164
0.594,8.05340483718754
0.596,8.04734236764804
0.598,8.03170782759569
0.6,8.02333847257943
0.602,8.01977511319741
0.604,8.02060661933212
0.606,8.02549248420772
0.608,8.03525177694762
0.61,8.05201784136376
0.612,8.05698853905414
0.614,8.07046467129584
0.616,8.09043168180627
0.618,8.11732012265402
0.62,8.15375793626714
0.622,8.20110032038361
0.624,8.24720682288192
0.626,8.29998134452517
0.628,8.3748171863035
0.63,8.47310473349609
0.632,8.61169886958606
0.634,8.78695572798509
0.636,9.0033447079138
0.638,9.30634914054658
0.64,9.69953294937702
0.642,10.1236657441577
0.644,10.5903237264003
0.646,11.1312620623848
0.648,11.6515142966894
0.65,12.2606299632288
0.652,12.8781849008519
0.654,13.5608805172906
0.656,14.2597109921031
0.658,15.0375835941128
0.66,15.7958515464242
0.662,16.630363484489
0.664,17.4988830476535
0.666,18.3823786579329
0.668,19.317503437179
0.67,20.297649228676
0.672,21.2975533507162
0.674,22.3168693822459
0.676,23.3793207622316
0.678,24.456121504782
0.68,25.5213050605633
0.682,26.5045467188563
0.684,27.0859152230188
0.686,26.9265291937391
0.688000000000001,26.1370542267209
0.690000000000001,25.1202748956201
0.692000000000001,24.0439734991896
0.694000000000001,22.9623857490076
0.696000000000001,21.8986856741919
0.698000000000001,20.8765836894813
0.700000000000001,19.8909719989867
0.702000000000001,18.9544440658377
0.704000000000001,18.0064466894898
0.706000000000001,17.1180555634923
0.708000000000001,16.2900197990592
0.710000000000001,15.4519857073845
0.712000000000001,14.6795490555368
0.714000000000001,13.9463757010631
0.716000000000001,13.2374513086804
0.718000000000001,12.5944116160997
0.720000000000001,11.95004403039
0.722000000000001,11.3729910214292
0.724000000000001,10.830573464203
0.726000000000001,10.3185509227964
0.728000000000001,9.87339615026844
0.730000000000001,9.43381203309009
0.732000000000001,9.08803835434134
0.734000000000001,8.83184026207689
0.736000000000001,8.63958377884258
0.738000000000001,8.48014601446292
0.740000000000001,8.36831954565757
0.742000000000001,8.28648904806765
0.744000000000001,8.2350771163462
0.746000000000001,8.17484982370006
0.748000000000001,8.12772568543736
0.750000000000001,8.09312165355141
0.752000000000001,8.06879385101574
0.754000000000001,8.05397819829405
0.756000000000001,8.04497174208194
0.758000000000001,8.02848089603829
0.760000000000001,8.02094041979408
0.762000000000001,8.02001655153659
0.764000000000001,8.02511937973334
0.766000000000001,8.03913644860885
0.768000000000001,8.05368626556708
0.770000000000001,8.06477149874489
0.772000000000001,8.08561346345218
0.774000000000001,8.11634594155462
0.776000000000001,8.15913363777096
0.778000000000001,8.21866733212
0.780000000000001,8.26772364651911
0.782000000000001,8.33999992241749
0.784000000000001,8.43929935043076
0.786000000000001,8.57889188082263
0.788000000000001,8.76733140515253
0.790000000000001,8.99316451531364
0.792000000000001,9.31415172569285
0.794000000000001,9.73184900776366
0.796000000000001,10.1729444371799
0.798000000000001,10.6646610283558
0.800000000000001,11.2189829261647
0.802000000000001,11.7713373856071
0.804000000000001,12.4157720344071
0.806000000000001,13.0388470358422
0.808000000000001,13.7534577415336
0.810000000000001,14.4634430446547
0.812000000000001,15.2446247978797
0.814000000000001,16.046370328814
0.816000000000001,16.8874953970493
0.818000000000001,17.7851045195666
0.820000000000001,18.6975325152499
0.822000000000001,19.6428861480569
0.824000000000001,20.6317109947603
0.826000000000001,21.6623310707607
0.828000000000001,22.7297551804846
0.830000000000001,23.7870523837819
0.832000000000001,24.86454052124
0.834000000000001,25.9082030692889
0.836000000000001,26.7958560253425
0.838000000000001,27.1034159978819
0.840000000000001,26.6526236893482
0.842000000000001,25.7186117458359
0.844000000000001,24.6539038162175
0.846000000000001,23.5695940323122
0.848000000000001,22.5018578737541
0.850000000000001,21.4746899633875
0.852000000000001,20.4368067728118
0.854000000000001,19.4421575700767
0.856000000000001,18.4911480827266
0.858000000000001,17.6011506120529
0.860000000000001,16.6972112511425
0.862000000000001,15.8471282185951
0.864000000000001,15.0673604032908
0.866000000000001,14.2702033354198
0.868000000000001,13.5493691082805
0.870000000000001,12.8455860763301
0.872000000000001,12.20057973417
0.874000000000001,11.5726408246568
0.876000000000001,11.0176903147445
0.878000000000001,10.4635763919752
0.880000000000001,9.97849698757718
0.882000000000001,9.51352580821527
0.884000000000001,9.12903041581575
0.886000000000001,8.84310996731483
0.888000000000001,8.63185773105109
0.890000000000001,8.46159156010788
0.892000000000001,8.34396979682399
0.894000000000001,8.26198964836608
0.896000000000001,8.20351365781534
0.898000000000001,8.14065097753732
0.900000000000001,8.09727060996982
0.902000000000001,8.06802516038749
0.904000000000001,8.0525928053579
0.906000000000001,8.03685684764532
0.908000000000001,8.02315110643224
0.910000000000001,8.01978170923579
0.912000000000001,8.02488341323528
0.914000000000001,8.04090098492434
0.916000000000001,8.05493968914474
0.918000000000001,8.07357459856814
0.920000000000001,8.10476582420614
0.922000000000001,8.15117339059182
0.924000000000001,8.21778955088591
0.926000000000001,8.27504226699696
0.928000000000001,8.36245527152366
0.930000000000001,8.48492201246645
0.932000000000001,8.66758599080845
0.934000000000001,8.88310586747282
0.936000000000001,9.18897755655908
0.938000000000001,9.59656102249674
0.940000000000001,10.0605897571118
0.942000000000001,10.5590524863204
0.944000000000001,11.1336576415896
0.946000000000001,11.6876878582021
0.948000000000001,12.3372134639856
0.950000000000001,12.9794481547738
0.952000000000001,13.7047540354366
0.954000000000001,14.4283839379185
0.956000000000001,15.2228512060534
0.958000000000001,16.033261696744
0.960000000000001,16.8867847106068
0.962000000000001,17.7951065861149
0.964000000000001,18.7208365838915
0.966000000000001,19.6758430492216
0.968000000000001,20.6750590793649
0.970000000000001,21.7135771668634
0.972000000000001,22.7910811989958
0.974000000000001,23.8683893231917
0.976000000000001,24.9516778595541
0.978000000000001,25.9950742471834
0.980000000000001,26.8563431906704
0.982000000000001,27.0939205474962
0.984000000000001,26.5720582683946
0.986000000000001,25.6030343553781
0.988000000000001,24.5280422811216
0.990000000000001,23.4324779105091
0.992000000000001,22.3523377946061
0.994000000000001,21.312926406992
0.996000000000001,20.293065622269
0.998000000000001,19.2866918253505
1,18.3285523830107
